prompt_id,job_type,status,start_utc,end_utc,exec_seconds,model,loras,width,height,megapixels,steps,reference_image,edit,model_swap,cached_nodes,cache_replay,output_file,in_book
7f5f94e5-3f10-41e4-b1c8-62f89143d21c,klein,success,2026-09-25T11:34:44.197+00:00,2026-09-25T11:35:00.572+00:00,16.38,flux-2-klein-4b.safetensors,,896,1152,1.03,4,False,False,False,0,False,halo_klein_00039_.png,False
8823f6e2-a2fd-4f0b-8de1-977f67431d78,klein,success,2026-09-25T11:35:13.758+00:00,2026-09-25T11:35:22.040+00:00,8.28,flux-2-klein-4b.safetensors,,1344,768,1.03,4,False,False,False,4,False,halo_klein_00040_.png,False
371ed4d8-e2a4-4988-81c4-9053ea503ff6,qwen_edit,success,2026-09-25T11:35:33.408+00:00,2026-09-25T11:36:29.005+00:00,55.6,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00080_.png,True
e7ac4c4a-c85a-4bd9-a15c-f9b90f6ea2b8,klein,success,2026-09-25T11:36:45.701+00:00,2026-09-25T11:36:58.665+00:00,12.96,flux-2-klein-4b.safetensors,,1344,768,1.03,4,False,False,True,0,False,halo_klein_00041_.png,False
b6acb0c0-e335-4ebf-847f-203e582b7312,klein,success,2026-09-25T11:37:13.555+00:00,2026-09-25T11:37:21.495+00:00,7.94,flux-2-klein-4b.safetensors,,1344,768,1.03,4,False,False,False,6,False,halo_klein_00042_.png,False
da77c039-a3bd-4cc7-abe6-6733e0309a4d,klein,success,2026-09-25T11:37:36.601+00:00,2026-09-25T11:37:45.356+00:00,8.76,flux-2-klein-4b.safetensors,,1344,768,1.03,4,False,False,False,6,False,halo_klein_00043_.png,False
faaab7a1-9c65-4636-a5e6-198511e98c57,qwen_edit,success,2026-09-25T11:37:55.795+00:00,2026-09-25T11:38:50.173+00:00,54.38,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00081_.png,True
fe9c416c-f9d4-4dc1-9709-fabed5c4629d,klein_ref,success,2026-09-25T11:39:07.182+00:00,2026-09-25T11:39:28.022+00:00,20.84,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,True,0,False,halo_klein_ref_00254_.png,False
f005db54-0c0d-4ad5-8bbf-57773dec84f9,qwen_edit,success,2026-09-25T11:39:58.178+00:00,2026-09-25T11:40:54.821+00:00,56.64,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00082_.png,False
72a966b4-5f5b-4a0d-8eb1-5a32f18e311e,klein_ref,success,2026-09-25T11:41:13.684+00:00,2026-09-25T11:41:34.858+00:00,21.17,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,True,0,False,halo_klein_ref_00255_.png,True
5ae398c2-6acf-429f-be68-be1b98720f3a,klein_ref,success,2026-09-25T11:41:52.827+00:00,2026-09-25T11:42:09.458+00:00,16.63,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00256_.png,True
7d200e2a-375e-435d-a671-c91067505ccc,klein_ref,success,2026-09-25T11:42:25.672+00:00,2026-09-25T11:42:42.264+00:00,16.59,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00257_.png,False
f43275f5-05b7-436e-95cb-98119980b690,klein_ref,success,2026-09-25T11:42:57.906+00:00,2026-09-25T11:43:14.609+00:00,16.7,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00258_.png,False
4222e89b-9cd3-4528-92ed-c3d04fd2b875,klein_ref,success,2026-09-25T11:43:29.984+00:00,2026-09-25T11:43:46.431+00:00,16.45,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00259_.png,True
a84aecaf-a595-4db8-84d1-9c5003265dc2,klein_ref,success,2026-09-25T11:44:01.636+00:00,2026-09-25T11:44:17.919+00:00,16.28,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00260_.png,False
