prompt_id,job_type,status,start_utc,end_utc,exec_seconds,model,loras,width,height,megapixels,steps,reference_image,edit,model_swap,cached_nodes,cache_replay,output_file,in_book
e1b8bd34-88b7-4280-a86f-44e175b12e76,klein,success,2026-09-25T01:43:01.240+00:00,2026-09-25T01:43:22.925+00:00,21.68,flux-2-klein-4b.safetensors,,896,1152,1.03,4,False,False,False,0,False,halo_klein_00024_.png,False
167633cd-d9be-4ebc-b210-a8b7dc606ac7,klein,success,2026-09-25T01:43:25.822+00:00,2026-09-25T01:43:37.774+00:00,11.95,flux-2-klein-4b.safetensors,,896,1152,1.03,4,False,False,False,6,False,halo_klein_00025_.png,False
32da3e55-709f-40f9-9f32-17088af6d378,qwen_edit,success,2026-09-25T01:43:59.887+00:00,2026-09-25T01:45:26.993+00:00,87.11,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,880,1184,1.04,4,False,True,True,0,False,halo_edit_00051_.png,False
48636074-da93-4ad5-9716-a8bb7be2a33a,klein,success,2026-09-25T01:45:27.640+00:00,2026-09-25T01:45:50.643+00:00,23.0,flux-2-klein-4b.safetensors,,896,1152,1.03,4,False,False,True,0,False,halo_klein_00026_.png,False
4cdeef5e-5050-4b14-9c58-893310b3da40,klein_ref,success,2026-09-25T01:46:31.046+00:00,2026-09-25T01:46:50.026+00:00,18.98,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,4,False,halo_klein_ref_00109_.png,False
db213bbc-675e-4e27-8f26-9b2c1a3954fc,klein_ref,success,2026-09-25T01:46:51.993+00:00,2026-09-25T01:47:11.231+00:00,19.24,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00110_.png,False
2f80ed0f-21ba-412b-9e2d-55a66a4b7ca7,qwen_edit,success,2026-09-25T01:47:25.483+00:00,2026-09-25T01:48:55.591+00:00,90.11,qwen_image_edit_2511_fp8mixed.safetensors,Qwen-Image-Edit-2511-Lightning-4steps-V1.0-bf16.safetensors,1328,800,1.06,4,False,True,True,0,False,halo_edit_00052_.png,True
1de3c4be-918a-40e5-877d-7bcd32290a99,klein_ref,success,2026-09-25T01:48:56.174+00:00,2026-09-25T01:49:27.086+00:00,30.91,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,True,0,False,halo_klein_ref_00111_.png,True
959bbf34-550c-4430-86b8-9112766f679f,klein_ref,success,2026-09-25T01:50:31.488+00:00,2026-09-25T01:50:51.476+00:00,19.99,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00112_.png,False
49260d24-5bc9-4cd7-a989-b1a37dea7242,klein_ref,success,2026-09-25T01:51:01.442+00:00,2026-09-25T01:51:22.301+00:00,20.86,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00113_.png,True
4743a7a6-591f-413b-aa3f-ef4fae1d2c0e,klein_ref,success,2026-09-25T01:51:32.775+00:00,2026-09-25T01:51:54.451+00:00,21.68,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00114_.png,False
77102f45-6e9e-49c7-9707-86cd1e02a0d5,klein_ref,success,2026-09-25T01:52:05.444+00:00,2026-09-25T01:52:27.024+00:00,21.58,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00115_.png,False
e96000ef-d879-4470-90f3-6260709316ea,klein_ref,success,2026-09-25T01:52:38.613+00:00,2026-09-25T01:53:00.392+00:00,21.78,flux-2-klein-4b.safetensors,,1344,768,1.03,4,True,False,False,6,False,halo_klein_ref_00116_.png,False
